src_id,abbrev,commissie,opmerking
rekenkamer__kamerstuk:2014:06:13:beantwoording-kamervragen-over-het-rapport-resultaten-verantwoordingsonderzoek-2013-bij-het-ministerie-van-financien,FIN,Vaste commissie voor Financiën,
rekenkamer__kamerstuk:2014:06:13:beantwoording-kamervragen-over-het-rapport-resultaten-verantwoordingsonderzoek-2013-bij-het-ministerie-van-infrastructuur-en-milieu,IenW,Vaste commissie voor Infrastructuur en Milieu,
rekenkamer__kamerstuk:2014:06:13:beantwoording-kamervragen-over-het-rapport-resultaten-verantwoordingsonderzoek-2013-bij-het-ministerie-van-onderwijs-cultuur-en-wetenschap,OCW,"Vaste commissie voor Onderwijs, Cultuur en Wetenschap",
rekenkamer__kamerstuk:2014:06:13:beantwoording-kamervragen-over-het-rapport-resultaten-verantwoordingsonderzoek-2013-bij-het-ministerie-van-sociale-zaken-en-werkgelegenheid,SZW,Vaste commissie voor Sociale Zaken en Werkgelegenheid,
rekenkamer__kamerstuk:2014:06:13:beantwoording-kamervragen-over-het-rapport-resultaten-verantwoordingsonderzoek-2013-bij-het-ministerie-van-veiligheid-en-justitie,JenV,Vaste commissie voor Veiligheid en Justitie,
rekenkamer__kamerstuk:2014:06:13:beantwoording-kamervragen-over-het-rapport-staat-van-de-rijksverantwoording-2013,RIJKS,Vaste commissie voor Financiën en de Rijksuitgaven,
rekenkamer__kamerstuk:2014:08:25:beantwoording-kamervragen-over-het-rapport-bezuiniging-op-de-kinderopvangtoeslag,SZW,,
rekenkamer__kamerstuk:2014:10:28:beantwoording-kamervragen-over-de-kamerbrief-aandachtspunten-bij-de-begroting-2015-ministerie-van-defensie,DEF,Vaste commissie voor Defensie,
rekenkamer__kamerstuk:2015:02:26:beantwoording-kamervragen-over-het-rapport-belastingontwijking,FIN,Vaste commissie voor Financiën,
rekenkamer__kamerstuk:2015:04:22:beantwoording-kamervragen-over-het-rapport-bezuiniging-op-cultuur,OCW,,
rekenkamer__kamerstuk:2015:05:20:beantwoording-kamervragen-over-de-webpublicatie-belastinguitgaven-en-milieueffecten,FIN,Vaste commissie voor Financiën en de Rijksuitgaven,
rekenkamer__kamerstuk:2015:05:28:beantwoording-kamervragen-over-het-rapport-de-staat-als-aandeelhouder,FIN,,
rekenkamer__kamerstuk:2015:06:03:beantwoording-kamervragen-over-het-trendrapport-open-data-2015,FIN,Vaste commissie voor Financiën en de Rijksuitgaven,
rekenkamer__kamerstuk:2016:04:28:beantwoording-kamervragen-over-het-rapport-intensivering-toezicht-en-invordering-bij-de-belastingdienst,FIN,,
rekenkamer__kamerstuk:2016:05:12:beantwoording-kamervragen-over-het-rapport-begrotingsreserves,FIN,,
rekenkamer__kamerstuk:2016:06:06:beantwoording-kamervragen-over-het-rapport-bij-de-nationale-verklaring-2016,RIJKS,Vaste commissie voor Financiën en de Rijksuitgaven,
rekenkamer__kamerstuk:2016:06:06:beantwoording-kamervragen-over-het-rapport-resultaten-verantwoordingsonderzoek-2015-bij-het-ministerie-van-binnenlandse-zaken-en-koninkrijksrelaties,BZK,Vaste commissie voor Binnenlandse Zaken,
rekenkamer__kamerstuk:2016:06:06:beantwoording-kamervragen-over-het-rapport-resultaten-verantwoordingsonderzoek-2015-bij-het-ministerie-van-economische-zaken-en-diergezondheidsfonds,EZ,Vaste commissie voor Economische Zaken,
rekenkamer__kamerstuk:2016:06:06:beantwoording-kamervragen-over-het-rapport-resultaten-verantwoordingsonderzoek-2015-bij-het-ministerie-van-financien-en-nationale-schuld,FIN,Vaste commissie voor Financiën,
rekenkamer__kamerstuk:2016:06:06:beantwoording-kamervragen-over-het-rapport-resultaten-verantwoordingsonderzoek-2015-bij-het-ministerie-van-infrastructuur-en-milieu,IenW,Vaste commissie voor Infrastructuur en Milieu,
rekenkamer__kamerstuk:2016:06:06:beantwoording-kamervragen-over-het-rapport-resultaten-verantwoordingsonderzoek-2015-bij-het-ministerie-van-onderwijs-cultuur-en-wetenschap,OCW,Vaste commissie voor Defensie,
rekenkamer__kamerstuk:2016:06:06:beantwoording-kamervragen-over-het-rapport-resultaten-verantwoordingsonderzoek-2015-bij-wonen-en-rijksdienst,RIJKS,,
rekenkamer__kamerstuk:2016:06:07:beantwoording-kamervragen-over-het-rapport-resultaten-verantwoordingsonderzoek-2015-bij-het-ministerie-van-defensie,DEF,Vaste commissie voor Defensie,
rekenkamer__kamerstuk:2016:06:08:beantwoording-kamervragen-over-de-staat-van-de-rijksverantwoording-2015,RIJKS,Vaste commissie voor Financiën,
rekenkamer__kamerstuk:2016:06:08:beantwoording-kamervragen-over-het-rapport-resultaten-verantwoordingsonderzoek-2015-bij-het-ministerie-van-veiligheid-en-justitie,FIN,Vaste commissie voor Financiën,
