src_id,abbrev,commissie,opmerking
rekenkamer__kamerstuk:2022:06:08:beantwoording-vragen-tweede-kamer-over-de-resultaten-verantwoordingsonderzoek-2021-bij-het-ministerie-van-ezk,EZK,,
rekenkamer__kamerstuk:2022:06:08:beantwoording-vragen-tweede-kamer-over-de-resultaten-verantwoordingsonderzoek-2021-bij-het-ministerie-van-ocw,OCW,"Vaste commissie voor Onderwijs, Cultuur en Wetenschap",
rekenkamer__kamerstuk:2022:06:08:beantwoording-vragen-tweede-kamer-over-de-resultaten-verantwoordingsonderzoek-2021-bij-het-ministerie-van-vws,VWS,,
rekenkamer__kamerstuk:2022:06:08:beantwoording-vragen-tweede-kamer-over-de-staat-van-de-rijksverantwoording-2021,RIJKS,Commissie voor de Rijksuitgaven,
rekenkamer__kamerstuk:2023:06:06:beantwoording-vragen-tweede-kamer-betreffende-overkoepelende---overige-vragen-die-betrekking-hebben-op-rapporten-resultaten-verantwoordingsonderzoek-2022,BZK,Vaste commissie voor Digitale Zaken,
rekenkamer__kamerstuk:2023:06:06:beantwoording-vragen-tweede-kamer-over-de-resultaten-verantwoordingsonderzoek-2022-bij-het-ministerie-van-defensie,DEF,Vaste commissie voor Defensie,
rekenkamer__kamerstuk:2023:06:06:beantwoording-vragen-tweede-kamer-over-de-resultaten-verantwoordingsonderzoek-2022-bij-het-ministerie-van-ezk,EZK,Vaste commissie voor Economische Zaken en Klimaat,
rekenkamer__kamerstuk:2023:06:06:beantwoording-vragen-tweede-kamer-over-de-resultaten-verantwoordingsonderzoek-2022-bij-het-ministerie-van-financien,FIN,Vaste commissie voor Financiën,
rekenkamer__kamerstuk:2023:06:06:beantwoording-vragen-tweede-kamer-over-de-resultaten-verantwoordingsonderzoek-2022-bij-het-ministerie-van-infrastructuur-en-waterstaat,IenW,Vaste commissie voor Infrastructuur en Waterstaat,
rekenkamer__kamerstuk:2023:06:06:beantwoording-vragen-tweede-kamer-over-de-resultaten-verantwoordingsonderzoek-2022-bij-het-ministerie-van-justitie-en-veiligheid,JenV,Vaste commissie voor Justitie en Veiligheid,
rekenkamer__kamerstuk:2023:06:06:beantwoording-vragen-tweede-kamer-over-de-resultaten-verantwoordingsonderzoek-2022-bij-het-ministerie-van-ocw,OCW,Vaste commissie voor Defensie,
rekenkamer__kamerstuk:2023:06:06:beantwoording-vragen-tweede-kamer-over-de-resultaten-verantwoordingsonderzoek-2022-bij-het-ministerie-van-szw,SZW,Vaste commissie voor Sociale Zaken en Werkgelegenheid,
rekenkamer__kamerstuk:2023:06:06:beantwoording-vragen-tweede-kamer-over-de-resultaten-verantwoordingsonderzoek-2022-bij-het-ministerie-van-vws,VWS,"Vaste commissie voor Volksgezondheid, Welzijn en Sport",
rekenkamer__kamerstuk:2023:06:06:beantwoording-vragen-tweede-kamer-over-de-resultaten-verantwoordingsonderzoek-2022-bij-koninkrijksrelaties-en-het-bes-fonds,BZK,Vaste commissie voor Koninkrijksrelaties,
rekenkamer__kamerstuk:2023:06:06:beantwoording-vragen-tweede-kamer-over-de-staat-van-de-rijksverantwoording-2022,RIJKS,Commissie voor de Rijksuitgaven,
rekenkamer__kamerstuk:2023:06:07:beantwoording-vragen-tweede-kamer-over-de-resultaten-verantwoordingsonderzoek-2022-bij-het-ministerie-van-buitenlandse-zaken,FIN,Vaste commissie voor Financiën,
rekenkamer__kamerstuk:2023:06:07:beantwoording-vragen-tweede-kamer-over-de-resultaten-verantwoordingsonderzoek-2022-bij-het-ministerie-van-lnv-en-diergezondheidsfonds,LNV,Vaste commissie voor Financiën,
rekenkamer__kamerstuk:2024:06:04:beantwoording-vragen-tweede-kamer-over-de-staat-van-de-rijksverantwoording-2023,RIJKS,Vaste commissie voor Financiën en de Rijksuitgaven,
rekenkamer__kamerstuk:2024:06:04:beantwoording-vragen-tweede-kamer-over-het-verantwoordingsonderoek-2023-bij-koninkrijksrelaties-en-het-bes-fonds,BZK,Vaste commissie voor Koninkrijksrelaties,
rekenkamer__kamerstuk:2024:06:04:beantwoording-vragen-tweede-kamer-over-het-verantwoordingsonderzoek-2023-bij-buitenlandse-handel-en-ontwikkelingssamenwerking,BZ,Vaste commissie voor Buitenlandse Handel en Ontwikkelingssamenwerking,
rekenkamer__kamerstuk:2024:06:04:beantwoording-vragen-tweede-kamer-over-het-verantwoordingsonderzoek-2023-bij-het-ministerie-van-binnenlandse-zaken-en-koninkrijksrelaties,BZK,Vaste commissie voor Binnenlandse Zaken,
rekenkamer__kamerstuk:2024:06:04:beantwoording-vragen-tweede-kamer-over-het-verantwoordingsonderzoek-2023-bij-het-ministerie-van-buitenlandse-zaken,BZ,Vaste commissie voor Buitenlandse Zaken,
rekenkamer__kamerstuk:2024:06:04:beantwoording-vragen-tweede-kamer-over-het-verantwoordingsonderzoek-2023-bij-het-ministerie-van-bzk-ezk,BZK,Vaste commissie voor Digitale Zaken,
rekenkamer__kamerstuk:2024:06:04:beantwoording-vragen-tweede-kamer-over-het-verantwoordingsonderzoek-2023-bij-het-ministerie-van-defensie,DEF,Vaste commissie voor Defensie,
rekenkamer__kamerstuk:2024:06:04:beantwoording-vragen-tweede-kamer-over-het-verantwoordingsonderzoek-2023-bij-het-ministerie-van-economische-zaken-en-klimaat,EZK,Vaste commissie voor Economische Zaken en Klimaat,
rekenkamer__kamerstuk:2024:06:04:beantwoording-vragen-tweede-kamer-over-het-verantwoordingsonderzoek-2023-bij-het-ministerie-van-financien-en-nationale-schuld,FIN,Vaste commissie voor Financiën,
rekenkamer__kamerstuk:2024:06:04:beantwoording-vragen-tweede-kamer-over-het-verantwoordingsonderzoek-2023-bij-het-ministerie-van-infrastructuur-en-waterstaat,IenW,Vaste commissie voor Infrastructuur en Waterstaat,
rekenkamer__kamerstuk:2024:06:04:beantwoording-vragen-tweede-kamer-over-het-verantwoordingsonderzoek-2023-bij-het-ministerie-van-justitie-en-veiligheid,JenV,Vaste commissie voor Justitie en Veiligheid,
rekenkamer__kamerstuk:2024:06:04:beantwoording-vragen-tweede-kamer-over-het-verantwoordingsonderzoek-2023-bij-het-ministerie-van-lnv,LNV,"Vaste commissie voor Landbouw, Natuur en Voedselkwaliteit",
rekenkamer__kamerstuk:2024:06:04:beantwoording-vragen-tweede-kamer-over-het-verantwoordingsonderzoek-2023-bij-het-ministerie-van-onderwijs-cultuur-en-wetenschap,OCW,"Vaste commissie voor Onderwijs, Cultuur en Wetenschap",
rekenkamer__kamerstuk:2024:06:04:beantwoording-vragen-tweede-kamer-over-het-verantwoordingsonderzoek-2023-bij-het-ministerie-van-volksgezondheid-welzijn-en-sport,VWS,"Vaste commissie voor Volksgezondheid, Welzijn en Sport",
rekenkamer__kamerstuk:2024:06:04:beantwoording-vragen-tweede-kamer-over-het-verantwoordingsonderzoek-2023-bij-het-mobiliteitsfonds,IenW,Vaste commissie voor Infrastructuur en Waterstaat,
rekenkamer__kamerstuk:2025:06:10:beantwoording-vragen-tweede-kamer-over-de-staat-van-de-rijksverantwoording-2024,RIJKS,Vaste commissie voor Financiën en de Rijksuitgaven,
rekenkamer__kamerstuk:2025:06:10:beantwoording-vragen-tweede-kamer-over-het-verantwoordingsonderzoek-2024-bij-het-begrotingshoofdstuk-buitenlandse-handel-en-ontwikkelingssamenwerking,BZ,Vaste commissie voor Buitenlandse Handel en Ontwikkelingssamenwerking,
rekenkamer__kamerstuk:2025:06:10:beantwoording-vragen-tweede-kamer-over-het-verantwoordingsonderzoek-2024-bij-het-ministerie-van-binnenlandse-zaken-en-koninkrijksrelaties,BZK,Vaste commissie voor Digitale Zaken,
rekenkamer__kamerstuk:2025:06:10:beantwoording-vragen-tweede-kamer-over-het-verantwoordingsonderzoek-2024-bij-het-ministerie-van-binnenlandse-zaken-en-koninkrijksrelaties-2,BZK,Vaste commissie voor Volkshuisvesting en Ruimtelijke Ordening,
rekenkamer__kamerstuk:2025:06:10:beantwoording-vragen-tweede-kamer-over-het-verantwoordingsonderzoek-2024-bij-het-ministerie-van-buitenlandse-zaken,BZ,Vaste commissie voor Buitenlandse Zaken,
rekenkamer__kamerstuk:2025:06:10:beantwoording-vragen-tweede-kamer-over-het-verantwoordingsonderzoek-2024-bij-het-ministerie-van-defensie-en-het-defensiematerieelbegrotingsfonds,DEF,Vaste commissie voor Defensie,
rekenkamer__kamerstuk:2025:06:10:beantwoording-vragen-tweede-kamer-over-het-verantwoordingsonderzoek-2024-bij-het-ministerie-van-economische-zaken-en-klimaat,EZK,Vaste commissie voor Economische Zaken,
rekenkamer__kamerstuk:2025:06:10:beantwoording-vragen-tweede-kamer-over-het-verantwoordingsonderzoek-2024-bij-het-ministerie-van-financien,FIN,Vaste commissie voor Financiën,
rekenkamer__kamerstuk:2025:06:10:beantwoording-vragen-tweede-kamer-over-het-verantwoordingsonderzoek-2024-bij-het-ministerie-van-infrastructuur-en-waterstaat-xii-het-mobiliteitsfonds-a-en-het-deltafonds-j,IenW,Vaste commissie voor Infrastructuur en Waterstaat,
rekenkamer__kamerstuk:2025:06:10:beantwoording-vragen-tweede-kamer-over-het-verantwoordingsonderzoek-2024-bij-het-ministerie-van-justitie-en-veiligheid,JenV,Vaste commissie voor Justitie en Veiligheid,
rekenkamer__kamerstuk:2025:06:10:beantwoording-vragen-tweede-kamer-over-het-verantwoordingsonderzoek-2024-bij-het-ministerie-van-onderwijs-cultuur-en-wetenschap,OCW,"Vaste commissie voor Onderwijs, Cultuur en Wetenschap",
rekenkamer__kamerstuk:2025:06:10:beantwoording-vragen-tweede-kamer-over-het-verantwoordingsonderzoek-2024-bij-het-ministerie-van-szw,SZW,Vaste commissie voor Sociale Zaken en Werkgelegenheid,
rekenkamer__kamerstuk:2025:06:10:beantwoording-vragen-tweede-kamer-over-het-verantwoordingsonderzoek-2024-bij-het-ministerie-van-volksgezondheid-welzijn-en-sport,VWS,"Vaste commissie voor Volksgezondheid, Welzijn en Sport",
rekenkamer__kamerstuk:2025:06:10:beantwoording-vragen-tweede-kamer-over-het-verantwoordingsonderzoek-2024-bij-koninkrijksrelaties-en-het-bes-fonds,BZK,Vaste commissie voor Koninkrijksrelaties,
rekenkamer__kamerstuk:2025:06:19:beantwoording-vragen-tweede-kamer-over-het-verantwoordingsonderzoek-2024-bij-het-begrotingshoofdstuk-buitenlandse-handel-en-ontwikkelingssamenwerking,BZ,Vaste commissie voor Buitenlandse Handel en Ontwikkelingssamenwerking,
